"week_begin_date","total_weekly_spend"
2019-01-07,200174.04333333
2019-01-14,217010.95
2019-01-21,228151.95
2019-01-28,207874.95
2019-02-04,263956.95
2019-02-11,291922.95
2019-02-18,292181.95
2019-02-25,298259.95
2019-03-04,227787.95
2019-03-11,221316.26
2019-03-18,263462.26
2019-03-25,291504.53
2019-04-01,325286.27
2019-04-08,373701.07
2019-04-15,400389.57
2019-04-22,426425.63
2019-04-29,354455.94
2019-05-06,335141.89
2019-05-13,343514.78
2019-05-20,403096.23
2019-05-27,364143.61
2019-06-03,325115.58
2019-06-10,365921.07
2019-06-17,351480.51
2019-06-24,452223.61
2019-07-01,408981.05
2019-07-08,371270.65
2019-07-15,631041.87
2019-07-22,562509.72
2019-07-29,407588.53
2019-08-05,456673.75
2019-08-12,469801.17
2019-08-19,435261
2019-08-26,730025.32
2019-09-02,623269
2019-09-09,467142.03
2019-09-16,530830.99
2019-09-23,635832.02
2019-09-30,541677
2019-10-07,525203.62
2019-10-14,544708
2019-10-21,670701
2019-10-28,485147.63
2019-11-04,393521.394745912
2019-11-11,533217.994745912
2019-11-18,764566.054745913
2019-11-25,1582758.85474591
2019-12-02,744379.614745912
2019-12-09,535339.345950912
2019-12-16,672905.406321913
2019-12-23,892512.846476419
2019-12-30,747228.234262138
2020-01-06,642055.196356912
2020-01-13,919935.110725912
2020-01-20,645539.565391912
2020-01-27,616790.065115912
2020-02-03,646012.065246913
2020-02-10,715645.446998913
2020-02-17,772563.107270912
2020-02-24,720292.998230913
2020-03-02,753414.985287913
2020-03-09,724502.007842913
2020-03-16,547442.637660913
2020-03-23,542850.804758913
2020-03-30,281360.764734912
2020-04-06,367856.754791913
2020-04-13,403492.274744913
2020-04-20,435297.024766913
2020-04-27,450503.874757912
2020-05-04,302704.474730912
2020-05-11,239728.924766913
2020-05-18,259760.884737913
2020-05-25,333463.764772912
2020-06-01,376769.464740912
2020-06-08,581959.194758913
2020-06-15,621251.914796913
2020-06-22,647247.264706912
2020-06-29,700003.904853913
2020-07-06,716664.114748913
2020-07-13,781676.954737913
2020-07-20,1058054.25863791
2020-07-27,665832.384718913
2020-08-03,430563.214715912
2020-08-10,411426.874801913
2020-08-17,414802.114754913
2020-08-24,444473.534740912
2020-08-31,486014.604753912
2020-09-07,551571.606206913
2020-09-14,558995.405238913
2020-09-21,577882.515617913
2020-09-28,675335.015041913
2020-10-05,740399.316530913
2020-10-12,772619.165585913
2020-10-19,828449.084975912
2020-10-26,873183.694992913
2020-11-02,914124.255297913
2020-11-09,963918.295637913
2020-11-16,1356768.21558891
2020-11-23,3739697.35570191
2020-11-30,1245365.43634891
2020-12-07,612047.717020913
2020-12-14,689599.875664913
2020-12-21,788594.994894912
2020-12-28,1707966.31482991
2021-01-04,1025567.51033
2021-01-11,1214018.07469
2021-01-18,1345401.8204
2021-01-25,1438743.8007
2021-02-01,1506422.7514
2021-02-08,1473184.15117
2021-02-15,1651510.1792
2021-02-22,1805161.5623
2021-03-01,1829624.2845
2021-03-08,1879494.5347
2021-03-15,2347498.05821078
2021-03-22,1878345.89684591
2021-03-29,1654133.74934591
2021-04-05,1879929.03984591
2021-04-12,1780123.60674591
2021-04-19,1686830.68288691
2021-04-26,1710067.57933591
2021-05-03,2006198.94472391
2021-05-10,1987303.81898891
2021-05-17,2092710.62398661
2021-05-24,2158894.53968821
2021-05-31,1964506.61048606
2021-06-07,1753769.58385791
2021-06-14,1759395.92640791
2021-06-21,1716944.09784691
2021-06-28,1765615.54884991
2021-07-05,1829813.04737191
2021-07-12,2088376.47778291
2021-07-19,2744464.64881091
2021-07-26,1997440.82951691
2021-08-02,1774673.89381291
2021-08-09,1871043.61474591
2021-08-16,1784875.35474591
2021-08-23,1992884.95474591
2021-08-30,2221858.60474591
2021-09-06,2410106.28474591
2021-09-13,2429605.53474591
2021-09-20,2527967.85474591
2021-09-27,2533568.55474591
2021-10-04,2293768.23474591
2021-10-11,2205000
2021-10-18,2175000
2021-10-25,2175000
2021-11-01,2260000
2021-11-08,2260000
2021-11-15,2830000
2021-11-22,6605000
2021-11-29,3330000
2021-12-06,2030000
2021-12-13,2030000
2021-12-20,2144791.66666667
2021-12-27,2996666.66666667
2022-01-03,2590000
2022-01-10,2490000
2022-01-17,2490000
2022-01-24,2490000
2022-01-31,2490000
